Route,PartCount,AverageFlowTime,MedianFlowTime,P95FlowTime,AverageStationsVisited,FailureRate,FailureRate (%),Share (%),Confidence,MaterialRoute
44 -> 45 -> 47 -> 48 -> 50 -> 51,2,0.015,0.015,0.0195,6.0,0.0,0.0,0.00016903913086840471,Exclude from ranking,Minor route
39 -> 40 -> 41 -> 42 -> 44 -> 45 -> 47 -> 48 -> 50 -> 51,2,0.049999997,0.049999997,0.059,10.0,0.0,0.0,0.00016903913086840471,Exclude from ranking,Minor route
29 -> 30 -> 35 -> 37,2,3.935,3.935,4.3535,4.0,0.0,0.0,0.00016903913086840471,Exclude from ranking,Minor route
29 -> 30 -> 33 -> 35,2,1.655,1.655,3.1265,4.0,0.0,0.0,0.00016903913086840471,Exclude from ranking,Minor route
39 -> 40 -> 44 -> 45 -> 47 -> 48 -> 49 -> 50 -> 51,1,0.04,0.04,0.04,9.0,0.0,0.0,8.451956543420236e-05,Exclude from ranking,Minor route
29 -> 33 -> 34 -> 35,1,0.02,0.02,0.02,4.0,0.0,0.0,8.451956543420236e-05,Exclude from ranking,Minor route
29 -> 32 -> 34 -> 35 -> 37,1,0.07,0.07,0.07,5.0,0.0,0.0,8.451956543420236e-05,Exclude from ranking,Minor route
29 -> 32 -> 35 -> 37 -> 38,1,43.85,43.85,43.85,5.0,0.0,0.0,8.451956543420236e-05,Exclude from ranking,Minor route
39 -> 41 -> 43 -> 44 -> 45 -> 47 -> 48 -> 49 -> 51,1,0.06,0.06,0.06,9.0,0.0,0.0,8.451956543420236e-05,Exclude from ranking,Minor route
44 -> 47 -> 48 -> 49 -> 51,1,0.61,0.61,0.61,5.0,0.0,0.0,8.451956543420236e-05,Exclude from ranking,Minor route
29 -> 30 -> 33 -> 34 -> 37 -> 38,1,7.03,7.03,7.03,6.0,0.0,0.0,8.451956543420236e-05,Exclude from ranking,Minor route
29 -> 30 -> 31 -> 32 -> 35 -> 36 -> 37,1,0.08,0.08,0.08,7.0,0.0,0.0,8.451956543420236e-05,Exclude from ranking,Minor route
29 -> 30 -> 32 -> 35 -> 38,1,1.12,1.12,1.12,5.0,0.0,0.0,8.451956543420236e-05,Exclude from ranking,Minor route
29 -> 38,1,2.88,2.88,2.88,2.0,0.0,0.0,8.451956543420236e-05,Exclude from ranking,Minor route
39 -> 40 -> 41 -> 43 -> 47 -> 50 -> 51,1,0.02,0.02,0.02,7.0,0.0,0.0,8.451956543420236e-05,Exclude from ranking,Minor route
39 -> 40 -> 41 -> 43 -> 45 -> 46 -> 47 -> 48 -> 49 -> 51,1,2.04,2.04,2.04,10.0,0.0,0.0,8.451956543420236e-05,Exclude from ranking,Minor route
29 -> 30 -> 32 -> 34 -> 35,1,0.34,0.34,0.34,5.0,0.0,0.0,8.451956543420236e-05,Exclude from ranking,Minor route
29 -> 30 -> 31 -> 32 -> 33 -> 35 -> 37,1,0.21,0.21,0.21,7.0,0.0,0.0,8.451956543420236e-05,Exclude from ranking,Minor route
29 -> 30 -> 32 -> 33 -> 35,1,0.11,0.11,0.11,5.0,0.0,0.0,8.451956543420236e-05,Exclude from ranking,Minor route
34 -> 35 -> 37,1,0.02,0.02,0.02,3.0,0.0,0.0,8.451956543420236e-05,Exclude from ranking,Minor route
33 -> 34 -> 36 -> 37 -> 38,1,4.49,4.49,4.49,5.0,0.0,0.0,8.451956543420236e-05,Exclude from ranking,Minor route
33 -> 34 -> 35 -> 37 -> 38,1,24.63,24.63,24.63,5.0,0.0,0.0,8.451956543420236e-05,Exclude from ranking,Minor route
30 -> 33 -> 35 -> 37,1,0.02,0.02,0.02,4.0,0.0,0.0,8.451956543420236e-05,Exclude from ranking,Minor route
39 -> 40 -> 41 -> 45 -> 47 -> 48 -> 49 -> 51,1,0.04,0.04,0.04,8.0,0.0,0.0,8.451956543420236e-05,Exclude from ranking,Minor route
29 -> 30 -> 31 -> 32 -> 33 -> 34 -> 36,1,0.08,0.08,0.08,7.0,0.0,0.0,8.451956543420236e-05,Exclude from ranking,Minor route
39 -> 40 -> 41 -> 44 -> 45 -> 47 -> 48 -> 51,1,0.59,0.59,0.59,8.0,0.0,0.0,8.451956543420236e-05,Exclude from ranking,Minor route
29 -> 30 -> 31 -> 33 -> 35 -> 37 -> 38,1,1.98,1.98,1.98,7.0,0.0,0.0,8.451956543420236e-05,Exclude from ranking,Minor route
